Yelp URL,Rating,Date,Review Text,quantitative_llm_response,quantitative_llm_response_standardized
https://www.yelp.com/biz/sidney-dairy-barn-sidney,5,1/22/2022,All I can say is they have very good ice cream I would for sure recommend their cookies and creme ice cream it is very good,"{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['ice cream', 'cookies and creme ice cream'], 'positive_points': [], 'rating': 5, 'original_review': 'All I can say is they have very good ice cream I would for sure recommend their cookies and creme ice cream it is very good', 'standardized_pain_points': [], 'standardized_positive_points': []}","{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['ice cream', 'cookies and creme ice cream'], 'positive_points': [], 'rating': 5, 'original_review': 'All I can say is they have very good ice cream I would for sure recommend their cookies and creme ice cream it is very good', 'standardized_pain_points': [], 'standardized_positive_points': []}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,4,6/26/2022,Nice little local place for ice cream.My favorite is their pumpkin shake ( Fall season special).( My Sweetness tolerance is low) Their LARGE SIZE ice cream usually seems too sweet after having ice cream for a while. But love their pina colada. So refreshing. Their Banana Split is good too.,"{'pain_point_dishes': ['ice cream'], 'pain_points': [], 'positive_point_dishes': ['pumpkin shake', 'pina colada', 'Banana Split'], 'positive_points': ['Nice little local place'], 'rating': 4, 'original_review': 'Nice little local place for ice cream.My favorite is their pumpkin shake ( Fall season special).( My Sweetness tolerance is low) Their LARGE SIZE ice cream usually seems too sweet after having ice cream for a while. But love their pina colada. So refreshing. Their Banana Split is good too.', 'standardized_pain_points': [], 'standardized_positive_points': ['nice little local place']}","{'pain_point_dishes': ['ice cream'], 'pain_points': [], 'positive_point_dishes': ['pumpkin shake', 'pina colada', 'Banana Split'], 'positive_points': ['Nice little local place'], 'rating': 4, 'original_review': 'Nice little local place for ice cream.My favorite is their pumpkin shake ( Fall season special).( My Sweetness tolerance is low) Their LARGE SIZE ice cream usually seems too sweet after having ice cream for a while. But love their pina colada. So refreshing. Their Banana Split is good too.', 'standardized_pain_points': [], 'standardized_positive_points': ['nice little local place']}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,5,8/7/2021,A delicious treat on a hot day! Staff was very friendly and helpful-- gave us a sample and let us order a little earlier than open.,"{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': [], 'positive_points': ['friendly and helpful staff', 'allowed early ordering'], 'rating': 5, 'original_review': 'A delicious treat on a hot day! Staff was very friendly and helpful-- gave us a sample and let us order a little earlier than open.', 'standardized_pain_points': [], 'standardized_positive_points': ['Friendly and Helpful Staff', 'Accommodating Policies']}","{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': [], 'positive_points': ['friendly and helpful staff', 'allowed early ordering'], 'rating': 5, 'original_review': 'A delicious treat on a hot day! Staff was very friendly and helpful-- gave us a sample and let us order a little earlier than open.', 'standardized_pain_points': [], 'standardized_positive_points': ['Friendly and Helpful Staff', 'Accommodating Policies']}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,4,7/28/2016,"This was great service and a fun crew! I got the banana cream pie with chocolate ice cream. I loved the flavor of this. It had freshly cut bananas, graham crackers and chocolate ice cream. YUM!! The only thing that I noticed is that it melted pretty fast and it's a bit icy. I like creamier ice cream (so it had a bit more overrun that I prefer), but overall, was delicious!","{'pain_point_dishes': ['chocolate ice cream'], 'pain_points': [], 'positive_point_dishes': ['banana cream pie', 'chocolate ice cream'], 'positive_points': ['great service'], 'rating': 5, 'original_review': ""This was great service and a fun crew! I got the banana cream pie with chocolate ice cream. I loved the flavor of this. It had freshly cut bananas, graham crackers and chocolate ice cream. YUM!! The only thing that I noticed is that it melted pretty fast and it's a bit icy. I like creamier ice cream (so it had a bit more overrun that I prefer), but overall, was delicious!"", 'standardized_pain_points': [], 'standardized_positive_points': ['Excellent Service']}","{'pain_point_dishes': ['chocolate ice cream'], 'pain_points': [], 'positive_point_dishes': ['banana cream pie', 'chocolate ice cream'], 'positive_points': ['great service'], 'rating': 5, 'original_review': ""This was great service and a fun crew! I got the banana cream pie with chocolate ice cream. I loved the flavor of this. It had freshly cut bananas, graham crackers and chocolate ice cream. YUM!! The only thing that I noticed is that it melted pretty fast and it's a bit icy. I like creamier ice cream (so it had a bit more overrun that I prefer), but overall, was delicious!"", 'standardized_pain_points': [], 'standardized_positive_points': ['Excellent Service']}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,5,6/23/2015,"This is one of my favorite places to get ice cream in the CU area. It's a bit of drive, but it is worth it. It's about 10 minutes from the far side of Urbana. Getting there is really easy. The atmosphere of the Dairy Barn is very kid friendly. There are many tables set up so that you can sit and enjoy the ice cream. When my friends and I went, the line was about a 20 minute wait, but it didn't seem like any time at all. An older gentlemen, I presume the manager or owner, was giving out samples to the entire line. You could tell that he took pride in the product he made and was excited to share it with everyone. The special that night was cappuccino ice cream. I added in cookie dough to make a ""tornado"" which is a blizzard like ice cream treat. It was so quite refreshing and was a nice treat on a humid night. The Dairy barn is a must go!","{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['cappuccino ice cream', 'cookie dough'], 'positive_points': ['kid-friendly atmosphere'], 'rating': 5, 'original_review': 'This is one of my favorite places to get ice cream in the CU area. It\'s a bit of drive, but it is worth it. It\'s about 10 minutes from the far side of Urbana. Getting there is really easy. The atmosphere of the Dairy Barn is very kid friendly. There are many tables set up so that you can sit and enjoy the ice cream. When my friends and I went, the line was about a 20 minute wait, but it didn\'t seem like any time at all. An older gentlemen, I presume the manager or owner, was giving out samples to the entire line. You could tell that he took pride in the product he made and was excited to share it with everyone. The special that night was cappuccino ice cream. I added in cookie dough to make a ""tornado"" which is a blizzard like ice cream treat. It was so quite refreshing and was a nice treat on a humid night. The Dairy barn is a must go!', 'standardized_pain_points': [], 'standardized_positive_points': ['Family-Friendly Atmosphere']}","{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['cappuccino ice cream', 'cookie dough'], 'positive_points': ['kid-friendly atmosphere'], 'rating': 5, 'original_review': 'This is one of my favorite places to get ice cream in the CU area. It\'s a bit of drive, but it is worth it. It\'s about 10 minutes from the far side of Urbana. Getting there is really easy. The atmosphere of the Dairy Barn is very kid friendly. There are many tables set up so that you can sit and enjoy the ice cream. When my friends and I went, the line was about a 20 minute wait, but it didn\'t seem like any time at all. An older gentlemen, I presume the manager or owner, was giving out samples to the entire line. You could tell that he took pride in the product he made and was excited to share it with everyone. The special that night was cappuccino ice cream. I added in cookie dough to make a ""tornado"" which is a blizzard like ice cream treat. It was so quite refreshing and was a nice treat on a humid night. The Dairy barn is a must go!', 'standardized_pain_points': [], 'standardized_positive_points': ['Family-Friendly Atmosphere']}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,5,5/1/2019,"I've been coming to this ice cream stand since I was a little girl back in the 1970's. (Yes, it's been here for that long! Just not under the same ownership.) But not much has changed in those years in regards to their basic ice cream. It is a great family place! They are always accommodating when we want to tweak the menu item a bit :-) I love the rotating, special flavor of the week! Keep an eye on the Facebook page for that. It's always a joy to see the near constant long line. Shows how successful a small town business can be. If you are truly passionate about supporting small business, stay away from those franchises that make their ice cream at some corporate factory and come get some made fresh soft serve from your truly local business!!","{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['ice cream', 'special flavor of the week', 'fresh soft serve'], 'positive_points': ['great family place', 'accommodating', 'rotating special flavor', 'long line indicates success', 'supporting local business'], 'rating': 5, 'original_review': ""I've been coming to this ice cream stand since I was a little girl back in the 1970's. (Yes, it's been here for that long! Just not under the same ownership.) But not much has changed in those years in regards to their basic ice cream. It is a great family place! They are always accommodating when we want to tweak the menu item a bit :-) I love the rotating, special flavor of the week! Keep an eye on the Facebook page for that. It's always a joy to see the near constant long line. Shows how successful a small town business can be. If you are truly passionate about supporting small business, stay away from those franchises that make their ice cream at some corporate factory and come get some made fresh soft serve from your truly local business!!"", 'standardized_pain_points': [], 'standardized_positive_points': ['Family-Friendly Atmosphere', 'Accommodating Policies', 'Special Menu Items', 'High Customer Demand', 'Local Establishment']}","{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['ice cream', 'special flavor of the week', 'fresh soft serve'], 'positive_points': ['great family place', 'accommodating', 'rotating special flavor', 'long line indicates success', 'supporting local business'], 'rating': 5, 'original_review': ""I've been coming to this ice cream stand since I was a little girl back in the 1970's. (Yes, it's been here for that long! Just not under the same ownership.) But not much has changed in those years in regards to their basic ice cream. It is a great family place! They are always accommodating when we want to tweak the menu item a bit :-) I love the rotating, special flavor of the week! Keep an eye on the Facebook page for that. It's always a joy to see the near constant long line. Shows how successful a small town business can be. If you are truly passionate about supporting small business, stay away from those franchises that make their ice cream at some corporate factory and come get some made fresh soft serve from your truly local business!!"", 'standardized_pain_points': [], 'standardized_positive_points': ['Family-Friendly Atmosphere', 'Accommodating Policies', 'Special Menu Items', 'High Customer Demand', 'Local Establishment']}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,1,8/11/2016,"The soft-serve is way too sweet and has a strange Splenda-like aftertaste. The flavors tasted very artificial, and I ended up with a stomach ache when I got home... I really don't recommend this place, your simple Baskin Robbins is much better.","{'pain_point_dishes': ['soft-serve'], 'pain_points': [], 'positive_point_dishes': [], 'positive_points': [], 'rating': 0, 'original_review': ""The soft-serve is way too sweet and has a strange Splenda-like aftertaste. The flavors tasted very artificial, and I ended up with a stomach ache when I got home... I really don't recommend this place, your simple Baskin Robbins is much better."", 'standardized_pain_points': [], 'standardized_positive_points': []}","{'pain_point_dishes': ['soft-serve'], 'pain_points': [], 'positive_point_dishes': [], 'positive_points': [], 'rating': 0, 'original_review': ""The soft-serve is way too sweet and has a strange Splenda-like aftertaste. The flavors tasted very artificial, and I ended up with a stomach ache when I got home... I really don't recommend this place, your simple Baskin Robbins is much better."", 'standardized_pain_points': [], 'standardized_positive_points': []}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,5,11/5/2016,My husband and I stopped here on the way back to Monticello from Westville (Go Sages!). He had a chocolate shake and I had a cookie dough tornado. Both were very tasty and refreshing. What a cute place filled with character. The service was very friendly and efficient. I love small town gems like this!,"{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['chocolate shake', 'cookie dough tornado'], 'positive_points': ['friendly and efficient service'], 'rating': 5, 'original_review': 'My husband and I stopped here on the way back to Monticello from Westville (Go Sages!). He had a chocolate shake and I had a cookie dough tornado. Both were very tasty and refreshing. What a cute place filled with character. The service was very friendly and efficient. I love small town gems like this!', 'standardized_pain_points': [], 'standardized_positive_points': ['Excellent Service']}","{'pain_point_dishes': [], 'pain_points': [], 'positive_point_dishes': ['chocolate shake', 'cookie dough tornado'], 'positive_points': ['friendly and efficient service'], 'rating': 5, 'original_review': 'My husband and I stopped here on the way back to Monticello from Westville (Go Sages!). He had a chocolate shake and I had a cookie dough tornado. Both were very tasty and refreshing. What a cute place filled with character. The service was very friendly and efficient. I love small town gems like this!', 'standardized_pain_points': [], 'standardized_positive_points': ['Excellent Service']}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,5,8/19/2015,"Little piece of heaven, the best ice cream shop near Champaign Urbana. Decent prices, superb taste; What else do you need on a hot summer day! This place is cash only, and sometimes you can smell cow dung. Other than that, this place serves far better ice cream than neighboring ice cream parlors (like Jarlings) of Champaign-Urbana.","{'pain_point_dishes': [], 'pain_points': ['cash only', 'smell of cow dung'], 'positive_point_dishes': ['ice cream'], 'positive_points': ['decent prices', 'superb taste'], 'rating': 5, 'original_review': 'Little piece of heaven, the best ice cream shop near Champaign Urbana. Decent prices, superb taste; What else do you need on a hot summer day! This place is cash only, and sometimes you can smell cow dung. Other than that, this place serves far better ice cream than neighboring ice cream parlors (like Jarlings) of Champaign-Urbana.', 'standardized_pain_points': ['Payment Methods Limitations', 'Unpleasant Odors'], 'standardized_positive_points': ['Competitive Pricing', 'Superior Food Quality']}","{'pain_point_dishes': [], 'pain_points': ['cash only', 'smell of cow dung'], 'positive_point_dishes': ['ice cream'], 'positive_points': ['decent prices', 'superb taste'], 'rating': 5, 'original_review': 'Little piece of heaven, the best ice cream shop near Champaign Urbana. Decent prices, superb taste; What else do you need on a hot summer day! This place is cash only, and sometimes you can smell cow dung. Other than that, this place serves far better ice cream than neighboring ice cream parlors (like Jarlings) of Champaign-Urbana.', 'standardized_pain_points': ['Payment Methods Limitations', 'Unpleasant Odors'], 'standardized_positive_points': ['Competitive Pricing', 'Superior Food Quality']}"
https://www.yelp.com/biz/sidney-dairy-barn-sidney,2,7/26/2019,"Went here for the 1st time tonight. I ordered a turtle tornado. It was excellent. TONS of pecans and lots of flavor. I guess I could be picky and say that it melted incredibly fast. Too bad my wife and son didn't have the same experience. My son ordered a plain chocolate cone. My wife ordered a vanilla cone w/ a chocolate dip. I tasted both, after they said theirs didn't taste very good. I totally agreed. Both were very watery in flavor. My sons had a bit of an icy consistency. Instead of ice cream or custard - they resembled ice milk. Not going back. Jarling's Custard Cup is way, way better.","{'pain_point_dishes': ['plain chocolate cone', 'vanilla cone w/ chocolate dip'], 'positive_point_dishes': ['turtle tornado'], 'rating': 2, 'original_review': ""Went here for the 1st time tonight. I ordered a turtle tornado. It was excellent. TONS of pecans and lots of flavor. I guess I could be picky and say that it melted incredibly fast. Too bad my wife and son didn't have the same experience. My son ordered a plain chocolate cone. My wife ordered a vanilla cone w/ a chocolate dip. I tasted both, after they said theirs didn't taste very good. I totally agreed. Both were very watery in flavor. My sons had a bit of an icy consistency. Instead of ice cream or custard - they resembled ice milk. Not going back. Jarling's Custard Cup is way, way better.""}","{'pain_point_dishes': ['plain chocolate cone', 'vanilla cone w/ chocolate dip'], 'positive_point_dishes': ['turtle tornado'], 'rating': 2, 'original_review': ""Went here for the 1st time tonight. I ordered a turtle tornado. It was excellent. TONS of pecans and lots of flavor. I guess I could be picky and say that it melted incredibly fast. Too bad my wife and son didn't have the same experience. My son ordered a plain chocolate cone. My wife ordered a vanilla cone w/ a chocolate dip. I tasted both, after they said theirs didn't taste very good. I totally agreed. Both were very watery in flavor. My sons had a bit of an icy consistency. Instead of ice cream or custard - they resembled ice milk. Not going back. Jarling's Custard Cup is way, way better.""}"
